,0,1,2,3
89,-0.09469721,-0.35753268,-0.7363061,-0.27889892
90,-0.052476823,-0.3255133,-0.77060556,-0.2802253
91,0.019488215,-0.26897144,-0.8259623,-0.27515486
92,-0.25058883,-0.48023516,-0.64124584,-0.4070032
93,-0.28870556,-0.48899686,-0.6158736,-0.41168514
94,0.021575078,-0.26319098,-0.8200786,-0.27143756
95,-0.0539293,-0.36794028,-0.84094477,-0.35652915
96,-0.25874493,-0.48553365,-0.63954467,-0.41214803
97,-0.25264487,-0.48451936,-0.64304733,-0.41319987
98,-0.23299748,-0.48345566,-0.6514224,-0.42646244
99,-0.07078202,-0.35683665,-0.78638667,-0.30595055
100,-0.095992684,-0.4940725,-0.97327065,-0.48608813
101,-0.11157605,-0.40463376,-0.7812938,-0.35010293
102,-0.034729302,-0.3134572,-0.7876233,-0.28121325
103,-0.022966057,-0.3074675,-0.80239403,-0.28521243
104,-0.03146133,-0.3082825,-0.7855089,-0.2776362
105,-0.039001673,-0.31317312,-0.7778939,-0.27658507
106,-0.14848888,-0.41041481,-0.7122123,-0.3161386
107,-0.07827003,-0.3261393,-0.7160553,-0.25488034
108,-0.09618619,-0.3366425,-0.6963048,-0.24682215
109,-0.13800883,-0.37325573,-0.6704422,-0.2590874
110,-0.17847365,-0.40890336,-0.6423907,-0.31454805
111,-0.18298772,-0.41427046,-0.6416375,-0.32368758
112,-0.17014188,-0.39687377,-0.63982254,-0.2973468
113,-0.17725539,-0.40246874,-0.63329816,-0.3113018
114,-0.18010813,-0.40952283,-0.6396499,-0.31765035
115,-0.18144429,-0.4083175,-0.634218,-0.31991878
116,-0.19839609,-0.42514098,-0.6251774,-0.35371998
117,-0.19754231,-0.42683595,-0.63037246,-0.3524151
118,-0.18627852,-0.41854298,-0.6417593,-0.3304068
119,-0.1504024,-0.37843472,-0.65249586,-0.25816706
120,-0.09387079,-0.34783462,-0.7209959,-0.26573798
121,-0.33891422,-0.519837,-0.6082845,-0.43465844
122,0.15622237,-0.2698864,-1.1224306,-0.417825
123,-0.027949542,-0.21697557,-0.6336173,-0.13086084
124,-0.0072661936,-0.2273412,-0.6957545,-0.17649737
125,0.15918173,-0.21308059,-1.0477455,-0.3247368
126,-1.0838546,0.018484183,2.3124356,-1.9125232
127,0.054593027,0.01709602,-0.6436334,0.07919142
128,-0.26298618,0.079854056,0.47026718,-0.3935273
129,-0.22149503,0.009869225,-0.25598237,0.0117717385
130,-0.37560976,-0.02695658,0.027243853,-0.12995264
131,-0.24110693,0.0013245866,-0.25515068,0.010740638
132,-0.60822827,-0.100204624,0.25330096,-0.2736642
133,-0.5414485,0.059035618,1.0951838,-0.90881455
134,0.19131008,0.16778077,-0.48795852,0.12747309
135,-0.45580292,0.06543866,0.90298074,-0.75032973
136,-3.401935e-05,-0.2392757,-1.038395,-0.18441704
137,0.03575957,-0.19621176,-1.031218,-0.16238001
138,0.07826969,-0.17207724,-1.0451757,-0.18460229
139,0.033370793,-0.17685324,-0.9995778,-0.13659355
140,-0.019417673,-0.21135932,-0.9818999,-0.15717342
141,-0.11318141,-0.26414222,-0.88400185,-0.16056648
142,-0.026505858,-0.17878246,-0.9245143,-0.13294587
143,0.14507592,-0.30245778,-1.2823737,-0.5385252
144,-0.025605276,-0.22150847,-0.95429784,-0.14746001
145,-0.18351471,-0.2182602,-0.45899743,-0.11483833
146,-0.052156895,-0.25220525,-0.94471884,-0.16968957
147,-0.033711135,-0.25863636,-0.9670745,-0.18202755
148,-0.018333182,-0.23230532,-0.9653122,-0.15947357
